id,Class,Order,Family,Genus,Species,Sub.species,Authority,Common.Name,Location.of.population,Country.list,Region,Decimal.Latitude,Decimal.Longitude,Are.coordinates.for.specific.location.,system,biome,realm,Native,Alien,Invasive,Units,Sampling.method,Data.transformed,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014
2077,Actinopteri,Perciformes,Sparidae,Chrysophrys,auratus,,(Forster 1801),Silver seabream,"Hauraki gulf/Bay of Plenty, New Zealand",New Zealand,Oceania,-36,170,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,Spawning stock biomass/tonnes,RV,No,56376,50689,43309,36871,32607,33678,36909,35977,38297,38945,35145,33301,32361,33162,32818,31936,34381,33114,33087,33222,34097,34097,34601,33586,33682,32906,38667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2078,Actinopteri,Perciformes,Sparidae,Chrysophrys,auratus,,(Forster 1801),Silver seabream,New Zealand SNA 8,New Zealand,Oceania,-37,173.5,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,Spawning stock biomass/tonnes,Catch per unit effort and mark-recapture,No,63953.4,60005.6,56010.5,50895.8,46680.2,40136.3,35534,27516.2,22640.1,18502.2,17949.9,15297.2,13001.8,10907.3,9849.12,9100.27,7924.3,7570.19,9284.18,11463.1,11619.2,12406.4,12033.6,10503.1,10920.6,10923.5,10588.8,10292.7,10430.9,10612,10437.5,10784.2,10344.1,9804.87,9577.47,8310.14,NA,NA,NA,NA,NA,NA,NA,NA,NA
2119,Aves,Procellariiformes,Diomedeidae,Phoebastria,immutabilis,,"(Rothschild, 1893)",Laysan albatross,Midway Atoll,United States Minor Outlying Islands,Oceania,28.21667,-177.36667,TRUE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Number of active nests,Count,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,429300,NA,NA,NA,NA,387854,NA,NA,NA,NA,286662,NA,441178,408133,487527,398529,NA,NA,NA,NA,NA,NA,NA
2162,Aves,Charadriiformes,Laridae,Sternula,albifrons,sinensis,"(Pallas, 1764)",Little tern,"Gippsland, Australia",Australia,Oceania,-38,147.5,TRUE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,Number of individuals,Count,No,,,,NA,NA,NA,NA,131,255,138,95,160,226,211,204,262,175,248,321,197,212,212,387,357,365,307,416,241,343,285,205,234,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2167,Aves,Charadriiformes,Laridae,Sterna,striata,,"Gmelin, 1789",White-fronted tern,"South East Coast, Australia, Australia",Australia,Oceania,-39.88167,146.23,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,Number of pairs,Estimated,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2182,Mammalia,Carnivora,Otariidae,Arctocephalus,forsteri,,"Lesson, 1828",New Zealand fur seal,"the Bounty Islands, New Zealand",New Zealand,Oceania,-47.75222,179.05,TRUE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,Number of individuals,Estimates from pup counts,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,16600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2194,Mammalia,Sirenia,Dugongidae,Dugong,dugon,,"Müller, 1776",Dugong,"Between Dunk Island and Bundaberg, Queensland",Australia,Oceania,-21.42139,149.54194,FALSE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Number of individuals,Aerial Surveys,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3500,NA,NA,NA,NA,NA,NA,NA,1700,NA,NA,NA,NA,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2228,Mammalia,Carnivora,Otariidae,Phocarctos,hookeri,,"Gray, 1844",New Zealand sea lion,Total,New Zealand,Oceania,-42,174,FALSE,Marine,Unknown,South temperate and Antarctic,Yes,No,No,Total population,Different methods,No,,,,NA,NA,3000,NA,NA,NA,NA,NA,NA,4000,NA,6655,6750,NA,NA,NA,NA,NA,NA,11985,NA,12600,13400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2236,Reptilia,Testudines,Cheloniidae,Caretta,caretta,,"(Linnaeus, 1758)",Loggerhead sea turtle / Loggerhead turtle,"Heron Reef/Wistari Reef complex in the southern Great Barrier Reef foraging grounds, Australia",Australia,Oceania,-23.45,151.91667,TRUE,Marine,Tropical coral,Tropical and subtropical Indo-Pacific,Yes,No,No,Number of individuals (adults and immatures),Capture-mark-recapture,No,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,146,158,155,144,143,141,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2237,Reptilia,Testudines,Cheloniidae,Caretta,caretta,,"(Linnaeus, 1758)",Loggerhead sea turtle / Loggerhead turtle,"Wreck Island, Australia",Australia,Oceania,-23.33333,151.96667,TRUE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Number of nests,Unknown,No,,,,NA,NA,NA,NA,690,404,300,310,270,280,290,110,170,165,NA,100,65,100,50,90,60,80,70,68,30,75,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
